k,alpha,K,acc,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,time
1,40,5,0.9717380952380952,0.9913749753058239,0.9918075286570931,0.9737920092837316,0.9512730169388626,0.9664211237650999,0.9644585338319844,0.9891041896575701,0.9704387059211422,0.9582855407073518,0.9584604781725018,0.9846790294018459,0.9821249608222569,0.9772473426350464,0.9681969500874936,0.9742474555297637,0.9683675556179953,0.97573758678256,0.9685398057886203,0.9718122309236014,0.9458986862875103,101.3444489579997
1,50,5,0.9717142857142858,0.9909130398405755,0.9915960068702867,0.9700087428330637,0.9550728383638656,0.9654439160065902,0.9649894553827494,0.9895938310426772,0.9706673070080629,0.9555613879183472,0.9611009976735427,0.9849421210545819,0.9813100345432565,0.9767578058042711,0.966956513113886,0.9756508510419941,0.9693529601143218,0.9759516725276061,0.9670057295284785,0.9739306089036683,0.9453360006481075,113.30281543799356
3,30,5,0.9722619047619047,0.9928177201341983,0.992215269084053,0.9760370171586302,0.9546889810249146,0.9673395341059134,0.966062927668357,0.9883548560392027,0.9733869162495304,0.9548708914395588,0.9546714989584973,0.9807110231679375,0.9777857106883545,0.9727692279291309,0.9686265925610045,0.9747278396188296,0.9681148511808834,0.9787168332140708,0.9706171679279464,0.9785482801713711,0.9520200060402114,92.01215597299597
3,40,5,0.9727619047619047,0.9928177201341983,0.9928509005145976,0.9726174380813519,0.9583109909900529,0.9681371060515522,0.9644695665137022,0.9890818565455092,0.974319342044479,0.9541896304538884,0.95824478776234,0.9807194105994285,0.9763202623737344,0.9751560377837114,0.9675713484375089,0.9769173338191305,0.9703661982633495,0.9777673026529621,0.9673156321422158,0.9802559861337132,0.9557804922558001,108.99135295400629
3,50,5,0.9728333333333332,0.9923375533079343,0.9934995560713149,0.972192209498521,0.9597200798869994,0.9673631639813267,0.9636553908783831,0.9893319802046381,0.9747723837005984,0.9507173549029886,0.9618332360147994,0.9814222112351668,0.9755017291884291,0.9756041686181692,0.9676752672688064,0.9769079398206628,0.9692913673543702,0.9798776432982734,0.96886931606277,0.9809259485817027,0.9529947626989635,126.05959418199927
5,30,5,0.9721428571428572,0.9926040572593768,0.9922274064788773,0.9738869017182623,0.9566651726365334,0.9658443897998594,0.9684130947057431,0.9890762936898447,0.9736176317948564,0.9536741856356992,0.9532370553428031,0.9828533439406891,0.9777137826920221,0.9752907439501068,0.970683402523313,0.9761366649751375,0.9656121544963373,0.9789563718956439,0.9668859667815919,0.9752936662153244,0.9517335465245275,103.08433964700089
5,40,5,0.9731904761904762,0.9930724439032275,0.9934889313385755,0.9729679708604062,0.9603312957044953,0.9678000055157685,0.9652709708187789,0.9910206727127943,0.9740794081091242,0.9529723132033512,0.9582619422991675,0.9837886815437471,0.9746207400176006,0.9780898902391704,0.9710229377523121,0.9778469591387573,0.9686087233018188,0.9785161091110346,0.9662527982623992,0.9802460720241155,0.9537400276130705,119.44375538099848
5,50,5,0.972857142857143,0.993550494689698,0.9934976738689499,0.9695940509894065,0.9610246945030516,0.9680824741004275,0.9644410207580117,0.9898101776870527,0.9749853944298901,0.9484752388551028,0.9620877770181618,0.9833042101421678,0.9709909420047712,0.9798958942586035,0.9699714602535503,0.9805381368993512,0.9670238138972511,0.9794222852027291,0.9649423800069099,0.9819051854720513,0.9523391155053564,133.83571920099348
1,30,10,0.9722619047619047,0.9920077702679192,0.9909218908261096,0.9741599793148474,0.9543112233638315,0.9666805615292408,0.9641786325344022,0.9884333553828742,0.9705372237812575,0.9582181479741149,0.9603397166688328,0.9872957201540589,0.9848746141692247,0.9755762102121623,0.9670055099820573,0.9764788770214278,0.9686552165730389,0.9764187706285921,0.9696495436647066,0.9742689201363548,0.942430824960433,129.27363356500427
1,40,10,0.9730238095238096,0.991296004932925,0.9915936881812829,0.9751351097341784,0.9550810230418124,0.9676024347741761,0.9637333293261998,0.9889072398007874,0.9721287649262866,0.9616563087763963,0.9605808472125889,0.9848855015172691,0.9832061212774924,0.9785363710639041,0.9679206870236806,0.9769836706560945,0.9705676112633851,0.9764932572392271,0.9704902606443392,0.974056699017582,0.9470900778548319,148.65623395000148
1,50,10,0.9730952380952381,0.9917644353374169,0.9913836111990308,0.9718251998843298,0.9572428734153771,0.9680566811108742,0.9644572282945914,0.990106620547891,0.9714238924224914,0.9587252593222855,0.9631841422325896,0.9860587008349002,0.9830041997508128,0.9773419626109197,0.9666939637646184,0.9782769193399716,0.9713056321955763,0.9769521536804531,0.9696515653796697,0.974977228340365,0.946824367940669,168.99643416400068
3,30,10,0.9734761904761905,0.9927459816210289,0.9917659393482122,0.9764566115209699,0.9570677782364795,0.9694931012662135,0.9675954303590324,0.9892843812040072,0.9732811188420325,0.9570336480458062,0.9574948990804074,0.9820556405584302,0.9794520958371085,0.9725158085386892,0.9694217021525035,0.9757020196031577,0.9703746766706715,0.9788003343836069,0.9714916150022299,0.9793208949706601,0.955638895906149,142.3192990489988
3,40,10,0.9742380952380953,0.9930092103311854,0.9924299867869525,0.9751761203651832,0.9624438433568552,0.9699170050582337,0.9660199362904344,0.9897559148113929,0.9745234030651998,0.9562922456257039,0.9599278448303454,0.9820478245599649,0.9780564149675357,0.9769945410176261,0.9705251677869532,0.9779282255080046,0.9716067644355899,0.977924908847253,0.9704044728042265,0.9812276303338091,0.9561192471409308,160.5607313319997
3,50,10,0.974690476190476,0.9920160286856605,0.9932821029021437,0.9743099696604849,0.9636101952525392,0.9703356203392604,0.9654323182119834,0.9902659317845973,0.9765280764211488,0.9535786660628711,0.9641966009691423,0.9825373861735599,0.9778640585404623,0.9771155316280922,0.9689798420665007,0.9789724253949934,0.9710950191759794,0.9802168800845287,0.9714075481535547,0.9829601206919039,0.9566047931707923,184.80998810399615
5,30,10,0.9738809523809524,0.9920611107942143,0.9924465199312689,0.9764837612080693,0.9587779694862171,0.9679704680117883,0.970027078013185,0.9892732359138382,0.9760860779352012,0.9572885154052958,0.9558611518412405,0.984202275115116,0.979253510542023,0.9767544656557057,0.9721740009308636,0.9771912619498627,0.9686069635891823,0.9777351260874747,0.9698155175578187,0.9773259675709947,0.9556057901783582,149.6718608759984
5,40,10,0.9745714285714285,0.9928401804076765,0.9926433010944387,0.9752461708386415,0.9633219741242904,0.9705142732016885,0.9680855894613485,0.990984120437869,0.9747207882415951,0.9531750136589272,0.9613047193887307,0.9854744474022746,0.9769877594362801,0.9790829636763154,0.971076019313729,0.980835866793784,0.9690988934447514,0.9779461173895265,0.9673359638264316,0.9814454335546413,0.9570114571073074,169.71573812200222
5,50,10,0.9739761904761906,0.993289757116844,0.9935078036042368,0.9714805894632061,0.9642715847842677,0.9698025088478301,0.964936508433553,0.9899962144564729,0.9756112271546338,0.9499087562105526,0.9634903772167519,0.9838739956718399,0.9745596025245256,0.9792762725306592,0.9690171330728022,0.9814876333974961,0.9699601265328385,0.9801839479034058,0.9663195049707991,0.9821410926222202,0.9541566851166652,192.16730982000445
1,30,15,0.972642857142857,0.9923563445181499,0.9907428525359145,0.9746950307082735,0.9549055763951657,0.9680307184219032,0.963952181446662,0.9885742539331769,0.9704140049342546,0.9605971187673017,0.9598577583967182,0.9866980728081995,0.9850278618843941,0.9752438341429073,0.9676558588872044,0.9757809940823758,0.9702447534315256,0.9764336423933856,0.9703897697509887,0.9734073533869582,0.9453420956687058,171.0641967870033
1,40,15,0.9731428571428571,0.9916568260561712,0.9911911943465642,0.9747563415002216,0.9553073525133022,0.9682837418228699,0.9637489647192389,0.9888529900918538,0.9723212960443134,0.9618426585293572,0.9612291289820656,0.9849231154842949,0.9831147002643673,0.9772187789615691,0.9683600478914908,0.9764502760105189,0.9697652834337563,0.976946295689522,0.9703736140700341,0.9758464109833035,0.9482950011283343,194.66442543699668
1,50,15,0.9733333333333334,0.9921105678707407,0.9914004814761956,0.9710769777499247,0.957798831761352,0.9686507956301618,0.9646517298171349,0.9898049440429539,0.9711104636281788,0.9596528880763155,0.9645289827417328,0.9856514596886868,0.982991588052403,0.9763976745431389,0.9683883160995047,0.9775649321534527,0.9712496073850628,0.9770343013179882,0.9688692649922372,0.9772816873536245,0.9482146188231121,215.78203485399717
3,30,15,0.9740476190476192,0.9930517482231599,0.9915906504336346,0.9776097543700552,0.9588192170111035,0.9695194851905525,0.9684406017277418,0.988551239481793,0.9745400165671615,0.9591273745134475,0.9570455941889568,0.982101500734592,0.9796435077848451,0.9732482912313272,0.9710437188586696,0.9772628849407458,0.9717444957384832,0.979283625712897,0.9709796997364503,0.9794430113571864,0.9557738450716947,181.72244474400213
3,40,15,0.9746666666666666,0.9928483559302307,0.9924781402671058,0.9759376415968546,0.9625951562619844,0.9710145492148334,0.9663380474504432,0.9895183924735002,0.976418308659994,0.9564892854711491,0.9602421812858338,0.9818956529512671,0.9776270133770809,0.9769017628178064,0.9714363770731814,0.9781883844679234,0.9716351020949971,0.9784807540707986,0.9712154683628158,0.9827630873310947,0.9572290163135281,210.14035195999895
3,50,15,0.9748809523809524,0.9921213283059969,0.9933173785055006,0.9750852930005725,0.9637651926479914,0.9719066299687793,0.9646328348578405,0.9909773030899163,0.9768484779027895,0.9541900950932896,0.9626850326278841,0.9821899800693118,0.9775790754537582,0.9771609211171887,0.9696284504783648,0.9786460253743239,0.9720838413308122,0.9807658868071745,0.9717402544202737,0.9835168724664125,0.9564370384318277,230.48191687600047
5,30,15,0.9745714285714286,0.9923046938138333,0.9924600742325204,0.9761769429823931,0.9603024778363001,0.9701369224560386,0.9702363557970363,0.9899774700042052,0.9762181810653099,0.9574106565290723,0.9580136575842563,0.9847689952505188,0.9800589083152254,0.9767346753532311,0.9741863230700221,0.9781104450061918,0.9695301889439707,0.9783039302973927,0.9692640037546261,0.977176531422237,0.9573688692295774,194.60534589500458
5,40,15,0.9750952380952381,0.9933154189225589,0.9933080060654881,0.9751542395992964,0.9638672204865497,0.9706370242313554,0.9682666616159107,0.9912344764926697,0.9755783183272235,0.9549429339649547,0.9618488312081795,0.9858557852205222,0.9769097217673746,0.9804402644168034,0.9736728672521039,0.9810212611790556,0.9700873946137882,0.9780077344999621,0.9681351285399529,0.9805474797346038,0.956983700261672,220.18501745200047
