1.000000000000000000e+00,1.817895109800156206e+01,9.519999999999999574e-01
1.000000000000000000e+01,1.907784507900942117e+01,9.385000000000000009e-01
2.000000000000000000e+01,1.891234182901098393e+01,9.340000000000000524e-01
3.000000000000000000e+01,1.864631835100590251e+01,9.240000000000000435e-01
4.000000000000000000e+01,1.889368619100423530e+01,9.144999999999999796e-01
5.000000000000000000e+01,1.946840208998764865e+01,9.094999999999999751e-01
6.000000000000000000e+01,1.961076082702493295e+01,9.034999999999999698e-01
7.000000000000000000e+01,1.984577580800396390e+01,8.990000000000000213e-01
8.000000000000000000e+01,2.092118495798786171e+01,8.930000000000000160e-01
9.000000000000000000e+01,2.121314245302346535e+01,8.874999999999999556e-01
1.000000000000000000e+02,2.194655899700592272e+01,8.840000000000000080e-01
1.100000000000000000e+02,2.268255520000820979e+01,8.784999999999999476e-01
1.200000000000000000e+02,2.306663589100935496e+01,8.729999999999999982e-01
1.300000000000000000e+02,2.339129394700285047e+01,8.695000000000000506e-01
1.400000000000000000e+02,2.378865934300119989e+01,8.689999999999999947e-01
1.500000000000000000e+02,2.453899298800388351e+01,8.639999999999999902e-01
1.600000000000000000e+02,2.517527132399845868e+01,8.615000000000000435e-01
1.700000000000000000e+02,2.516226526300306432e+01,8.565000000000000391e-01
1.800000000000000000e+02,2.558596362499520183e+01,8.525000000000000355e-01
1.900000000000000000e+02,2.682529325602808967e+01,8.479999999999999760e-01
2.000000000000000000e+02,2.715442069599521346e+01,8.439999999999999725e-01
